Time stamp,Active power consumed [W],Voltage AC [V_ac],Current AC [I_ac]
2022-05-11 15:00:01,2200.0,220.0,10.0
2022-05-11 15:00:02,2233.21,220.28,10.14
2022-05-11 15:00:03,2266.47,220.55,10.28
2022-05-11 15:00:04,2299.75,220.83,10.41
2022-05-11 15:00:05,2333.04,221.1,10.55
2022-05-11 15:00:06,2366.3,221.38,10.69
2022-05-11 15:00:07,2399.5,221.65,10.83
2022-05-11 15:00:08,2432.63,221.92,10.96
2022-05-11 15:00:09,2465.65,222.19,11.1
2022-05-11 15:00:10,2498.54,222.46,11.23
2022-05-11 15:00:11,2531.27,222.73,11.36
2022-05-11 15:00:12,2563.81,222.99,11.5
2022-05-11 15:00:13,2596.14,223.26,11.63
2022-05-11 15:00:14,2628.24,223.52,11.76
2022-05-11 15:00:15,2660.07,223.77,11.89
2022-05-11 15:00:16,2691.6,224.03,12.01
2022-05-11 15:00:17,2722.82,224.28,12.14
2022-05-11 15:00:18,2753.7,224.53,12.26
2022-05-11 15:00:19,2784.2,224.77,12.39
2022-05-11 15:00:20,2814.31,225.01,12.51
2022-05-11 15:00:21,2844.0,225.25,12.63
2022-05-11 15:00:22,2873.24,225.48,12.74
2022-05-11 15:00:23,2902.01,225.71,12.86
2022-05-11 15:00:24,2930.28,225.94,12.97
2022-05-11 15:00:25,2958.02,226.16,13.08
2022-05-11 15:00:26,2985.22,226.37,13.19
2022-05-11 15:00:27,3011.85,226.58,13.29
2022-05-11 15:00:28,3037.89,226.79,13.4
2022-05-11 15:00:29,3063.31,226.99,13.5
2022-05-11 15:00:30,3088.09,227.19,13.59
2022-05-11 15:00:31,3112.21,227.38,13.69
2022-05-11 15:00:32,3135.65,227.56,13.78
2022-05-11 15:00:33,3158.38,227.74,13.87
2022-05-11 15:00:34,3180.39,227.91,13.95
2022-05-11 15:00:35,3201.65,228.08,14.04
2022-05-11 15:00:36,3222.15,228.24,14.12
2022-05-11 15:00:37,3241.87,228.39,14.19
2022-05-11 15:00:38,3260.78,228.54,14.27
2022-05-11 15:00:39,3278.88,228.68,14.34
2022-05-11 15:00:40,3296.14,228.81,14.41
2022-05-11 15:00:41,3312.56,228.94,14.47
2022-05-11 15:00:42,3328.11,229.06,14.53
2022-05-11 15:00:43,3342.77,229.17,14.59
2022-05-11 15:00:44,3356.55,229.28,14.64
2022-05-11 15:00:45,3369.42,229.38,14.69
2022-05-11 15:00:46,3381.37,229.47,14.74
2022-05-11 15:00:47,3392.39,229.56,14.78
2022-05-11 15:00:48,3402.47,229.63,14.82
2022-05-11 15:00:49,3411.6,229.7,14.85
2022-05-11 15:00:50,3419.78,229.77,14.88
2022-05-11 15:00:51,3426.99,229.82,14.91
2022-05-11 15:00:52,3433.23,229.87,14.94
2022-05-11 15:00:53,3438.49,229.91,14.96
2022-05-11 15:00:54,3442.77,229.94,14.97
2022-05-11 15:00:55,3446.06,229.97,14.98
2022-05-11 15:00:56,3448.36,229.99,14.99
2022-05-11 15:00:57,3449.67,230.0,15.0
2022-05-11 15:00:58,3449.98,230.0,15.0
2022-05-11 15:00:59,3449.31,229.99,15.0
2022-05-11 15:01:00,3447.64,229.98,14.99
2022-05-11 15:01:01,3444.97,229.96,14.98
2022-05-11 15:01:02,3441.32,229.93,14.97
2022-05-11 15:01:03,3436.69,229.9,14.95
2022-05-11 15:01:04,3431.07,229.85,14.93
2022-05-11 15:01:05,3424.48,229.8,14.9
2022-05-11 15:01:06,3416.92,229.75,14.87
2022-05-11 15:01:07,3408.39,229.68,14.84
2022-05-11 15:01:08,3398.91,229.61,14.8
2022-05-11 15:01:09,3388.49,229.53,14.76
2022-05-11 15:01:10,3377.13,229.44,14.72
2022-05-11 15:01:11,3364.84,229.34,14.67
2022-05-11 15:01:12,3351.64,229.24,14.62
2022-05-11 15:01:13,3337.54,229.13,14.57
2022-05-11 15:01:14,3322.55,229.02,14.51
2022-05-11 15:01:15,3306.69,228.89,14.45
2022-05-11 15:01:16,3289.96,228.76,14.38
2022-05-11 15:01:17,3272.39,228.63,14.31
2022-05-11 15:01:18,3254.0,228.48,14.24
2022-05-11 15:01:19,3234.79,228.33,14.17
2022-05-11 15:01:20,3214.78,228.18,14.09
2022-05-11 15:01:21,3194.01,228.02,14.01
2022-05-11 15:01:22,3172.47,227.85,13.92
2022-05-11 15:01:23,3150.2,227.67,13.84
2022-05-11 15:01:24,3127.21,227.49,13.75
2022-05-11 15:01:25,3103.52,227.31,13.65
2022-05-11 15:01:26,3079.16,227.12,13.56
2022-05-11 15:01:27,3054.14,226.92,13.46
2022-05-11 15:01:28,3028.49,226.72,13.36
2022-05-11 15:01:29,3002.24,226.51,13.25
2022-05-11 15:01:30,2975.4,226.3,13.15
2022-05-11 15:01:31,2948.0,226.08,13.04
2022-05-11 15:01:32,2920.06,225.86,12.93
2022-05-11 15:01:33,2891.6,225.63,12.82
2022-05-11 15:01:34,2862.66,225.4,12.7
2022-05-11 15:01:35,2833.26,225.17,12.58
2022-05-11 15:01:36,2803.41,224.93,12.46
2022-05-11 15:01:37,2773.16,224.68,12.34
2022-05-11 15:01:38,2742.51,224.44,12.22
2022-05-11 15:01:39,2711.51,224.19,12.09
2022-05-11 15:01:40,2680.17,223.94,11.97
2022-05-11 15:01:41,2648.53,223.68,11.84
2022-05-11 15:01:42,2616.6,223.42,11.71
2022-05-11 15:01:43,2584.41,223.16,11.58
2022-05-11 15:01:44,2552.0,222.9,11.45
2022-05-11 15:01:45,2519.39,222.63,11.32
2022-05-11 15:01:46,2486.6,222.36,11.18
2022-05-11 15:01:47,2453.66,222.1,11.05
2022-05-11 15:01:48,2420.59,221.82,10.91
2022-05-11 15:01:49,2387.44,221.55,10.78
2022-05-11 15:01:50,2354.21,221.28,10.64
2022-05-11 15:01:51,2320.94,221.0,10.5
2022-05-11 15:01:52,2287.65,220.73,10.36
2022-05-11 15:01:53,2254.37,220.45,10.23
2022-05-11 15:01:54,2221.13,220.18,10.09
2022-05-11 15:01:55,2187.94,219.9,9.95
2022-05-11 15:01:56,2154.84,219.62,9.81
2022-05-11 15:01:57,2121.85,219.35,9.67
2022-05-11 15:01:58,2089.0,219.07,9.54
2022-05-11 15:01:59,2056.31,218.8,9.4
2022-05-11 15:02:00,2023.8,218.52,9.26
2022-05-11 15:02:01,1991.5,218.25,9.12
2022-05-11 15:02:02,1959.44,217.98,8.99
2022-05-11 15:02:03,1927.63,217.71,8.85
2022-05-11 15:02:04,1896.09,217.44,8.72
2022-05-11 15:02:05,1864.86,217.17,8.59
2022-05-11 15:02:06,1833.95,216.91,8.45
2022-05-11 15:02:07,1803.39,216.65,8.32
2022-05-11 15:02:08,1773.2,216.39,8.19
2022-05-11 15:02:09,1743.39,216.13,8.07
2022-05-11 15:02:10,1713.99,215.88,7.94
2022-05-11 15:02:11,1685.01,215.63,7.81
2022-05-11 15:02:12,1656.49,215.38,7.69
2022-05-11 15:02:13,1628.43,215.14,7.57
2022-05-11 15:02:14,1600.86,214.9,7.45
2022-05-11 15:02:15,1573.8,214.66,7.33
2022-05-11 15:02:16,1547.25,214.43,7.22
2022-05-11 15:02:17,1521.25,214.2,7.1
2022-05-11 15:02:18,1495.8,213.98,6.99
2022-05-11 15:02:19,1470.93,213.76,6.88
2022-05-11 15:02:20,1446.64,213.55,6.77
2022-05-11 15:02:21,1422.96,213.34,6.67
2022-05-11 15:02:22,1399.9,213.14,6.57
2022-05-11 15:02:23,1377.48,212.94,6.47
2022-05-11 15:02:24,1355.7,212.74,6.37
2022-05-11 15:02:25,1334.58,212.56,6.28
2022-05-11 15:02:26,1314.13,212.38,6.19
2022-05-11 15:02:27,1294.38,212.2,6.1
2022-05-11 15:02:28,1275.32,212.03,6.01
